Name,Sub-Location,Address,Telephone,URL,Hours,Listedin,Modes of Payment,Year
 Little Hearts Play School,Puzhuthivakkam,"No 30, Anna Nagar Main Road, Puzhuthivakkam, Chennai - 600091, Near Vyasa Vidyalaya School",['+(91)-44-33045505'],www.littleheartsplayschool.com, Monday  - 08:00 am - 08:00 pm || Tuesday  - 08:00 am - 08:00 pm || Wednesday  - 08:00 am - 08:00 pm || Thursday  - 08:00 am - 08:00 pm || Friday  - 08:00 am - 08:00 pm || Saturday  - 08:00 am - 08:00 pm || Sunday  - Closed,Playgroups- Kindergartens- Abacus- Classes- Day- Care- Centres- Creche- Abacus- Institutes- Creche- Hourly- Training- Pre- School- Skills- more...,Cash- Master- Card- Visa- Card- Debit- Cards- Cheques- Credit- Card,2009
 Vels Kangaroo Kids,Mylapore,"No 9, Dr Ranga Road, Mylapore, Chennai - 600004, Opposite To Kirtilals Jewellery",['+(91)-44-33058932'],, Monday  - 12:00 am - 11:59 pm || Tuesday  - 12:00 am - 11:59 pm || Wednesday  - 12:00 am - 11:59 pm || Thursday  - 12:00 am - 11:59 pm || Friday  - 12:00 am - 11:59 pm || Saturday  - 12:00 am - 11:59 pm || Sunday  - 12:00 am - 11:59 pm,Playgroups- Kindergartens- Day- Care- Centres,Cash- Debit- Cards- Cheques- Credit- Card,
 Global Gateway Chennai Champs,West Mambalam,"New No 49 Chennai Champs Pre School, Umapathy Street, West Mambalam, Chennai - 600033, Opposite Shobana Kalyana Mandapam",['+(91)-44-33041080'],www.chennaichamps.in, Monday  - 09:00 am - 04:30 pm || Tuesday  - 09:00 am - 04:30 pm || Wednesday  - 09:00 am - 04:30 pm || Thursday  - 09:00 am - 04:30 pm || Friday  - 09:00 am - 04:30 pm || Saturday  - 09:00 am - 04:30 pm || Sunday  - Closed,Playgroups- Kindergartens- Drawing- Classes- Day- Care- Centres- Summer- Camps- Handwriting- Classes- Montessori- Teacher- Training- Institutes- Chess- Coaching- Classes- Arts- &- Crafts- Classes- Montessori- Schools- more...,,2009
 Time Kids,Alwarpet,"New No 7 Old No 3, Sriram Colony, Alwarpet, Chennai - 600018, Near Abhiramapuram Police Station",['+(91)-44-39976568'],www.timekidspreschools.in, Monday  - 09:00 am - 06:00 pm || Tuesday  - 09:00 am - 06:00 pm || Wednesday  - 09:00 am - 06:00 pm || Thursday  - 09:00 am - 06:00 pm || Friday  - 09:00 am - 06:00 pm || Saturday  - 09:00 am - 06:00 pm || Sunday  - 09:00 am - 12:00 pm,Playgroups- Kindergartens- Language- Classes- For- English- Summer- Camps- Language- Classes- For- Hindi- Abacus- Classes- Day- Care- Centres- Language- Classes- For- French- Handwriting- Classes- Montessori- Teacher- Training- Institutes- more...,Cash- Cheques,2013
 Pallikoodam Pre School And Nursery,K K Nagar West,"20 MARAIAMMAN KOVIL CROSS STREET, K K Nagar West, Chennai - 600078, behind pondicherry quest house",['+(91)-44-33052465'],, Monday  - 08:30 am - 06:00 pm || Tuesday  - 08:30 am - 06:00 pm || Wednesday  - 08:30 am - 06:00 pm || Thursday  - 08:30 am - 06:00 pm || Friday  - 08:30 am - 06:00 pm || Saturday  - 08:30 am - 06:00 pm || Sunday  - 05:30 am - 05:30 am,Language- Classes- For- English- Conversation- Kindergartens- Language- Classes- For- English- Language- Classes- For- Hindi- Day- Care- Centres- Playgroups- Music- Classes- For- Vocal- Hindi- Tutorials- Language- Classes- For- Hindi- Conversation- Creche- more...,Cash- Cheques,2016
 Global Gateway Chennai Champs,Valasaravakkam,"No 137, Cholan Street Alwarthirunagar, Valasaravakkam, Chennai - 600087, Opposite Megamart",['+(91)-44-39342399'],, Monday  - 08:30 am - 05:00 pm || Tuesday  - 08:30 am - 05:00 pm || Wednesday  - 08:30 am - 05:00 pm || Thursday  - 08:30 am - 05:00 pm || Friday  - 08:30 am - 05:00 pm || Saturday  - 08:30 am - 02:30 pm || Sunday  - Closed,Playgroups- Kindergartens- Music- Classes- Day- Care- Centres- Summer- Camps- Handwriting- Classes- Montessori- Teacher- Training- Institutes- Dance- Classes- For- Western- Dance- Chess- Coaching- Classes- Arts- &- Crafts- Classes- more...,Cash- Cheques,2009
 New Kids World Pre School,Avadi,"No 2, Sathiavani Muthu Street Gandhi Nagar, Avadi, Chennai - 600054, Near Avadi Check Post",['+(91)-44-30649643'],www.mynewkidsworld.com, Monday  - 07:00 am - 06:00 pm || Tuesday  - 07:00 am - 06:00 pm || Wednesday  - 07:00 am - 06:00 pm || Thursday  - 07:00 am - 06:00 pm || Friday  - 07:00 am - 06:00 pm || Saturday  - 07:00 am - 02:00 pm || Sunday  - Closed,Playgroups- Schools- Kindergartens- Primary- Schools- Montessori- Schools- Nursery- Schools,Cash,2010
 Mummy Day Care,K K Nagar,"No 676, 48th Street 9th Sector, K K Nagar, Chennai - 600078, Near Padmaseshadri School",['+(91)-44-33049229'],, Monday  - 12:00 am - 11:59 pm || Tuesday  - 12:00 am - 11:59 pm || Wednesday  - 12:00 am - 11:59 pm || Thursday  - 12:00 am - 11:59 pm || Friday  - 12:00 am - 11:59 pm || Saturday  - 12:00 am - 11:59 pm || Sunday  - 12:00 am - 11:59 pm,Day- Care- Centres- Kindergartens- Creche- 24- Hours- Creche- Creche- Hourly,Cash,2010
 Arise N Shine International Pre School,Mogappair,"Hig 427, 5th Main Road Eri Scheme, Mogappair, Chennai - 600037, Near Sboa Model School",['+(91)-44-30650246'],www.myarisenshine.com, Monday  - 08:30 am - 07:00 pm || Tuesday  - 08:30 am - 07:00 pm || Wednesday  - 08:30 am - 07:00 pm || Thursday  - 08:30 am - 07:00 pm || Friday  - 08:30 am - 07:00 pm || Saturday  - 08:30 am - 01:30 pm || Sunday  - Closed,Playgroups- Kindergartens- Summer- Camps- Drawing- Classes- Day- Care- Centres- Handwriting- Classes- Primary- Schools- Montessori- Schools- Creche- Nursery- Schools- more...,Cash- Master- Card- Visa- Card- Debit- Cards- Cheques- Credit- Card,2015
 Mas Play School,Velacheri,"No 7/41 Vishnu Priya Ramagiri, 100 Feet Taramani Road, Velacheri, Chennai - 600042, Opposite To Naidu Hall",['+(91)-44-39615845'],www.masplayschool.com, Monday  - 08:00 am - 08:00 pm || Tuesday  - 08:00 am - 08:00 pm || Wednesday  - 08:00 am - 08:00 pm || Thursday  - 08:00 am - 08:00 pm || Friday  - 08:00 am - 08:00 pm || Saturday  - Closed || Sunday  - Closed,Kindergartens- Playgroups- Nursery- Schools,Cash- Cheques,2000
